id,title,reason
120330070,Химик/Лаборант/Микробиолог,No skills listed
120324548,Лаборант КДЛ,No skills listed
120295350,Лаборант,No skills listed
120357301,Помощник лаборанта,No skills listed
118944209,Инженер-химик/Лаборант химического анализа,No skills listed
118238765,Лаборант на гидро-пневмо испытания без опыта,No skills listed
119846657,Лаборант в строительную лабораторию,No skills listed
120064354,Водитель категории В,No skills listed
120283055,Лаборант на пищевое производство,No skills listed
120215562,Лаборант,No skills listed
119886399,Лаборант взвешивания проб (Магадан),No skills listed
120221759,Главный технолог-лаборант на производство строительных смесей,No skills listed
119610762,Лаборант,No skills listed
119751547,Лаборант,No skills listed
119605251,Биолог-лаборант,No skills listed
120319336,Лаборант на производства,No skills listed
119163797,Лаборант химической посуды в лаборатории,No skills listed
120252884,Лаборант химического анализа,No skills listed
118875954,Лаборант в патоморфологический отдел,No skills listed
119635748,Лаборант производственной лаборатории,No skills listed
120262121,Химик-лаборант (г. Шымкент),No skills listed
120186553,Лаборант химического анализа,No skills listed
118978223,Ассистент в ветеринарную лабораторию,No skills listed
120263853,Лаборант (Мурманская область),No skills listed
119310473,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
115245718,Лаборант,No skills listed
119947243,Инженер - лаборант,No skills listed
120011935,Медицинская сестра / медицинский брат (лаборант),No skills listed
120229003,Лаборант-технолог,No skills listed
120327841,Лаборант химического анализа (пищевое производство),No skills listed
120227939,"Лаборант Службы качества, Шуя",No skills listed
119436110,Лаборант (судебно-медицинское городское отделение),No skills listed
120249980,Лаборант химического анализа 4 разряда,No skills listed
120345879,Лаборант,No skills listed
119703610,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
120263854,Лаборант (Мурманская область),No skills listed
120234401,Химик-лаборант,No skills listed
120236307,Инженер-лаборант,No skills listed
120341878,Помощник лаборанта,No skills listed
120262050,Лаборант,No skills listed
120334881,Лаборант химического анализа,No skills listed
119277317,Лаборант,No skills listed
120308281,Инженер-лаборант (химик),No skills listed
119945470,Лаборант,No skills listed
120212790,Лаборант (техник) в проект по разведению насекомых,No skills listed
120249415,Заведующий лабораторией ОТК,No skills listed
120244972,Инженер-лаборант,No skills listed
119298435,Лаборант отдела производства циклотронно-радиохимического комплекса,No skills listed
120293311,Лаборант химического анализа,No skills listed
120287395,Ветеринарный врач (лаборант),No skills listed
119592349,Химик-лаборант (ХВО),No skills listed
119601595,Медицинский лабораторный техник в Цитологическую лабораторию,No skills listed
119069078,Лаборант,No skills listed
120350556,Лаборант химического анализа,No skills listed
119850872,Ведущий лаборант химического анализа,No skills listed
119686681,Врач клинической лабораторной диагностики (КДЛ),No skills listed
120344244,Медицинская сестра/медицинский брат - администратор,No skills listed
115916146,Инженер-лаборант в лабораторию иммуноферментного анализа,No skills listed
120346823,Техник-лаборант,No skills listed
120323279,Рентген-лаборант/рентгенолаборант,No skills listed
119853459,Лаборант,No skills listed
120027341,Инженер-лаборант строительной лаборатории,No skills listed
118248727,Лаборант-химик,No skills listed
120216739,Техник-лаборант в аналитическую водную лабораторию,No skills listed
119964933,"Ассистент руководителя по контенту и соцсетям (офис, полдня)",No skills listed
120038461,Рентген-лаборант,No skills listed
104605119,Лаборант,No skills listed
119580983,Лаборант (производство),No skills listed
120309822,Лаборант,No skills listed
120117252,"Лаборант ТПА (Даму, пос. Байсерке)",No skills listed
119924032,Медицинский лабораторный техник (фельдшер-лаборант),No skills listed
119681080,Лаборант физико-химического анализа,No skills listed
120107593,Ведущий инженер-лаборант,No skills listed
120218129,Лаборант химического анализа,No skills listed
117466368,Медицинский лабораторный техник (цитогенетика),No skills listed
120263992,Химик-лаборант,No skills listed
119818771,Медицинский лабораторный техник/Фельдшер-лаборант/,No skills listed
120270398,Лаборант,No skills listed
119868705,Врач-бактериолог/Врач-микробиолог/Лаборант бакотдела,No skills listed
120283313,Лаборант химического анализа,No skills listed
118112973,Лаборант химического анализа в лабораторию почв,No skills listed
120069486,Лаборант на завод,No skills listed
118257510,Лаборант,No skills listed
119816024,Инженер-лаборант,No skills listed
119377607,Лаборант,No skills listed
120249416,Заведующий лабораторией ОТК,No skills listed
111519950,Ветеринарный лаборант,No skills listed
119675181,Техник-лаборант,No skills listed
119454558,Рентген-лаборант,No skills listed
119853578,Врач-лаборант в клинико-диагностическую лабораторию IPSUM PATHOLOGY (КДЛ),No skills listed
119834662,Руководитель лаборатории,No skills listed
119108877,Лаборант химико-спектрального анализа,No skills listed
119590382,Лаборант в лабораторию энтомофагов,No skills listed
120277765,Фельдшер-лаборант,No skills listed
119471151,Лаборант по буровым растворам,No skills listed
119846225,Лаборант химического анализа (по отбору проб) 5 разряда,No skills listed
120119794,Лаборант в лабораторию биологических испытаний,No skills listed
119666847,Лаборант-микробиолог,No skills listed
120294132,Лаборант,No skills listed
119963553,Лаборант химического анализа,No skills listed
120329246,Лаборант химического анализа 4 разряда,No skills listed
120282134,Лаборант химического анализа без опыта,No skills listed
120285148,Инженер-лаборант / Техник-лаборант грунтовой лаборатории,No skills listed
120294131,Лаборант,No skills listed
119930955,Химик-лаборант,No skills listed
120338126,Лаборант,No skills listed
118944175,Водитель автомобиля УАЗ,No skills listed
119297820,Лаборант,No skills listed
119435552,Лаборант химического анализа,No skills listed
120328101,Лаборант,No skills listed
120344218,Рентген-лаборант,No skills listed
118238590,Лаборант на гидро-пневмо испытания без опыта,No skills listed
120267015,Лаборант химического анализа 5 разряда,No skills listed
119743436,Рентген-лаборант,No skills listed
119858046,Лаборант,No skills listed
120249555,Конструктор женской одежды,No skills listed
120340528,Рентген-лаборант/техник МРТ КТ (ПЭТ),No skills listed
119849351,Лаборант/инженер в научную лабораторию,No skills listed
119833673,Руководитель лаборатории,No skills listed
119242424,Врач-лаборант в медицинский центр (г. Алматы),No skills listed
120240661,Лаборант химического анализа 4 разряда,No skills listed
119898680,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
119928425,Лаборант-средовар/лаборант-микробиолог,No skills listed
115940405,Лаборант,No skills listed
118113679,Лаборант ОКК,No skills listed
120100117,Лаборант производственной лаборатории,No skills listed
116541399,Лаборант,No skills listed
120223953,Рентген-лаборант,No skills listed
