id,title,skills,skills_count
106155531,Контролер качества/Лаборант,"['Контроль качества', 'Работа с документами']",2
119321730,Лаборант,"['Лабораторная работа', 'Проведение испытаний', 'Проведение лабораторных исследований', 'Обработка результатов испытаний', 'Документация испытательной лаборатории', 'Уход за лабораторной аппаратурой', 'термодинамика', 'гидродинамика', 'технологии добычи углеводородов', 'лабораторные анализы', 'керновый материал']",11
118813811,Контролер ОТК / Лаборант (полимерное производство),"['Контроль качества', 'Пользователь ПК', 'Производственный контроль', 'Непрерывное производство']",4
119492876,Инженер-технолог,"['Технический контроль производства', 'Контроль качества', 'Управление производством', 'Контроль состояния оборудования', 'Контроль исправности оборудования', 'Руководство коллективом', 'Непрерывное производство', 'Нормативно-техническая документация', 'Управление производственным персоналом', 'Ведение документации', 'Работа на производстве']",11
119904587,Инженер-лаборант,"['Пользователь ПК', 'Работа в команде', 'Контроль качества', 'Работа с оргтехникой']",4
117101388,Лаборант на пищевое производство,"['Ответственность', 'Внимательность', 'аккуратность']",3
119877143,Лаборант,"['Ведение документации', 'Умение работать в коллективе', 'Изделия медицинского назначения', 'Работа в условиях многозадачности']",4
119766985,Лаборант в бетонный завод (Беш-Кунгей),"['оформление документации', 'Ведение документации', 'Умение работать в коллективе', 'Контроль качества', 'Охрана труда и техника безопасности', 'Лабораторная работа', 'Техническое обслуживание', 'Ответственное хранение', 'Работа с документами', 'Точность и внимательность к деталям', 'Технический контроль производства', 'Работа с оргтехникой']",12
119882259,Эксперт соут/инженер/лаборант по исследованиям факторов трудового процесса,"['Пользователь ПК', 'Работа в команде', 'Умение работать в команде', 'Internet', 'Точность и внимательность к деталям']",5
115410011,Химик,"['оформление документации', 'Желание обучаться']",2
118884664,Лаборант в Лабораторию (Медицинский центр),"['Медицинское оборудование', 'Контроль качества', 'Проведение лабораторных исследований', 'Уход за лабораторной аппаратурой', 'Ответственность']",5
119681982,Санитар (Медико-криминалистическое отделение),['Исполнительность'],1
